cell,arm,seed,benchmark,language,n_samples,pass_at_1,maj_at_4,maj_at_8
A4_42_MGSM,A4,42,mgsm,de,250,0.556,,
A4_42_MGSM,A4,42,mgsm,ru,250,0.588,,
A4_42_MGSM,A4,42,mgsm,zh,250,0.688,,
A4_42_MGSM,A4,42,mgsm,ja,250,0.348,,
A4_42_MGSM,A4,42,mgsm,th,250,0.236,,
A4_42_MGSM,A4,42,mgsm,sw,250,0.032,,
A4_42_MGSM,A4,42,mgsm,bn,250,0.184,,
A4_123,A4,123,math500,en,500,0.614,,
A4_123,A4,123,aime2024,en,30,0.23333333333333334,,0.26666666666666666
A4_123,A4,123,amc23,en,40,0.525,0.725,
A4_7,A4,7,math500,en,500,0.602,,
A4_7,A4,7,aime2024,en,30,0.23333333333333334,,0.36666666666666664
A4_7,A4,7,amc23,en,40,0.525,0.7,
